ID,gem_coher,gem_context,gem_quali,gem_just,gem_equil,gem_tot,llam_coher,llam_context,llam_quali,llam_just,llam_equil,llam_tot,qwq_coher,qwq_context,qwq_quali,qwq_just,qwq_equil,qwq_tot
48,4,4,4,4,4,20,4,4,4,4,5,21,4,5,4,4,4,21
49,4,4,4,4,4,20,4,4,4,4,4,20,4,4,3,4,4,19
50,3,3,4,3,3,16,4,4,3,4,3,18,4,4,4,4,3,19
51,4,4,3,4,4,19,3,3,4,4,4,18,4,4,4,4,3,19
52,4,5,4,4,3,20,4,4,4,5,4,21,4,4,5,5,4,22
53,5,4,4,4,3,20,3,4,4,3,4,18,4,4,3,4,3,18
54,4,5,5,5,3,22,3,4,4,3,4,18,4,5,4,4,4,21
55,3,4,3,4,3,17,4,4,4,4,3,19,4,5,4,5,4,22
56,4,4,4,4,4,20,4,4,5,5,4,22,4,4,5,4,4,21
57,4,5,4,5,4,22,4,4,4,3,4,19,5,5,4,5,4,23
58,4,5,4,4,3,20,4,4,4,5,5,22,4,4,5,4,4,21
59,4,4,3,3,3,17,4,5,4,4,4,21,4,4,4,4,4,20
60,5,4,4,4,3,20,4,4,4,4,3,19,4,5,4,4,4,21
61,3,4,3,3,4,17,4,4,4,3,4,19,4,4,3,4,4,19
62,4,4,4,4,3,19,4,5,4,5,4,22,5,4,5,4,4,22
63,4,5,4,4,3,20,3,4,3,4,4,18,4,4,5,5,4,22
64,3,3,3,3,4,16,2,3,3,2,3,13,2,3,2,2,3,12
65,3,3,3,3,4,16,4,5,4,4,3,20,4,4,4,3,3,18
66,4,4,4,4,5,21,4,4,5,4,5,22,4,4,4,3,4,19
67,4,4,3,3,3,17,4,4,3,3,3,17,4,5,4,3,3,19
68,3,4,4,3,4,18,4,4,4,5,4,21,4,4,4,4,4,20
69,4,4,5,4,4,21,4,4,4,5,4,21,4,4,4,3,4,19
70,3,4,4,3,4,18,4,4,4,4,4,20,4,4,4,3,3,18
71,4,5,4,4,4,21,4,5,5,4,4,22,4,4,4,4,3,19
72,4,4,4,4,4,20,4,4,3,4,4,19,4,4,4,3,3,18
73,3,4,4,4,3,18,5,5,4,4,4,22,4,4,3,3,3,17
74,3,4,2,3,3,15,3,4,4,4,3,18,3,4,3,3,3,16
75,4,3,3,4,4,18,4,4,4,4,4,20,4,4,4,3,4,19
76,4,5,5,4,4,22,4,5,4,5,4,22,4,4,3,3,4,18
77,4,4,4,3,3,18,4,4,5,4,4,21,4,4,3,3,4,18
78,3,5,4,4,4,20,3,4,5,4,4,20,4,4,4,3,3,18
79,4,4,5,4,4,21,4,4,4,4,4,20,4,5,4,4,4,21
80,3,4,3,4,4,18,3,4,3,4,4,18,4,4,3,4,4,19
81,3,3,4,4,4,18,4,4,4,4,4,20,4,4,4,4,4,20
82,4,4,3,4,4,19,3,3,4,4,4,18,4,4,4,4,4,20
83,3,5,4,4,4,20,4,4,5,5,4,22,4,5,4,3,4,20
84,3,4,5,4,4,20,4,4,5,4,5,22,4,4,4,4,4,20
85,4,4,4,3,4,19,4,4,4,3,4,19,4,4,4,3,3,18
86,4,3,3,3,4,17,4,3,4,4,4,19,4,5,4,3,4,20
87,3,4,3,4,3,17,4,4,4,3,4,19,4,4,4,3,3,18
88,4,4,4,5,4,21,4,4,4,4,4,20,4,4,4,3,3,18
89,4,4,4,4,4,20,5,5,4,4,4,22,4,4,4,3,4,19
90,5,5,4,4,4,22,5,5,4,5,4,23,5,5,4,3,4,21
91,4,4,3,3,4,18,4,4,4,3,4,19,4,5,4,3,4,20
92,5,4,4,4,4,21,4,4,3,4,4,19,5,5,4,3,3,20
93,4,4,4,3,4,19,4,4,4,3,4,19,4,5,4,3,4,20
94,5,4,4,4,5,22,5,4,4,4,5,22,5,5,5,3,3,21
95,3,5,4,5,5,22,5,5,4,4,4,22,4,5,3,3,4,19
96,5,5,4,3,4,21,3,3,4,3,4,17,4,4,3,3,3,17
97,3,4,3,4,4,18,5,5,4,4,5,23,4,4,2,2,3,15
98,5,4,5,4,5,23,4,4,3,3,3,17,5,5,4,2,3,19
99,4,4,4,3,5,20,4,4,3,4,4,19,4,5,4,2,4,19
100,4,5,3,4,4,20,4,5,3,3,4,19,4,5,4,3,4,20
